zip,fips
36008,01001
36532,01003
36580,01003
36547,01003
36577,01003
36756,01007
36253,01015
36201,01015
35961,01019
36758,01021
36545,01025
35072,01027
36272,01029
36262,01029
36323,01031
35661,01033
36460,01035
35033,01043
35179,01043
36352,01045
36353,01045
36749,01047
36543,01053
35902,01055
35952,01055
36765,01065
36305,01069
35776,01071
35744,01071
35181,01073
35117,01073
35172,01073
35080,01073
35610,01077
35647,01083
35760,01089
35897,01089
35739,01089
35814,01089
36764,01091
36742,01091
35548,01093
35552,01093
36582,01097
36689,01097
36544,01097
36523,01097
36688,01097
36033,01099
36470,01099
36111,01101
36054,01101
36064,01101
36701,01105
35042,01105
35471,01107
36082,01109
36081,01109
36263,01111
35953,01115
35004,01115
35121,01115
35906,01115
35187,01117
35040,01117
35464,01119
35406,01125
35401,01125
35546,01127
35033,01127
99514,02020
99508,02020
99545,02050
99622,02050
99743,02068
99707,02090
99605,02122
99928,02130
99579,02164
99769,02180
99684,02180
99835,02220
99840,02230
99929,02275
99691,02290
85937,04001
86507,04001
86053,04005
86339,04005
86045,04005
85344,04012
85011,04013
85308,04013
85351,04013
85282,04013
85037,04013
85061,04013
85083,04013
85338,04013
85010,04013
85385,04013
86440,04015
85929,04017
85928,04017
86510,04017
85939,04017
85934,04017
85641,04019
85703,04019
85191,04021
85141,04021
86305,04025
86329,04025
86322,04025
86340,04025
85350,04027
72073,05001
72712,05007
72736,05007
72601,05009
71647,05011
72613,05015
72545,05023
71764,05027
72110,05029
72472,05031
72450,05031
72325,05035
72348,05035
72346,05037
72084,05039
71642,05043
72034,05045
72058,05045
72173,05045
72104,05051
72132,05053
72450,05055
71862,05057
71913,05059
72020,05067
72479,05067
72004,05069
71860,05073
72064,05085
72760,05087
72959,05087
72675,05089
72392,05095
71965,05097
71827,05099
72641,05101
72640,05101
71945,05113
71841,05113
72024,05117
72099,05119
72214,05119
72459,05121
72434,05121
72394,05123
72650,05129
72908,05131
72680,05137
72030,05141
72948,05143
72702,05143
72101,05147
94577,06001
94705,06001
95035,06001
94618,06001
95699,06005
95974,06007
95969,06007
95965,06007
95970,06011
94511,06013
95629,06017
95636,06017
95735,06017
95709,06017
93720,06019
93634,06019
93718,06019
93620,06019
93654,06019
93662,06019
93740,06019
93772,06019
93660,06019
93646,06019
95537,06023
95554,06023
92249,06025
93549,06027
93215,06029
93386,06029
93555,06029
93240,06029
93230,06031
95493,06033
96137,06035
90749,06037
91345,06037
91780,06037
91603,06037
91387,06037
91790,06037
91899,06037
90701,06037
90036,06037
91301,06037
91604,06037
91731,06037
90248,06037
91108,06037
91340,06037
90070,06037
90069,06037
91203,06037
93535,06037
91754,06037
90846,06037
90004,06037
93063,06037
93590,06037
90027,06037
90031,06037
91756,06037
90089,06037
91007,06037
90807,06037
91706,06037
90406,06037
90832,06037
90030,06037
94901,06041
94965,06041
95345,06043
93601,06043
95388,06047
95334,06047
95076,06053
93930,06053
93928,06053
93954,06053
96162,06057
95712,06057
92648,06059
92706,06059
92685,06059
92674,06059
92690,06059
95746,06061
95677,06061
95971,06063
